images,name,url,webshop,price,image_urls,desc
"[{'url': 'http://img.informatique.nl/110/524013.jpg', 'path': 'full/b778945a34ebdaf27755cbb9aaed223132edb404.jpg', 'checksum': 'df2da078a6fd9995054347e0292f7477'}]",Corsair Vengeance LP CML16GX3M4A1600C9B,http://www.informatique.nl/524013/corsair-vengeance-lp-cml16gx3m4a1600c9b.html,Informatique,"€ 179,00",http://img.informatique.nl/110/524013.jpg,"16GB (4 modules),Cas Latency:  9,Kloksnelheid: 1600 MHz,Voltage: 1.50 V"
"[{'url': 'http://img.informatique.nl/110/773022.jpg', 'path': 'full/2d4c4f2f8e36031d655f29652c86ee5af7aacba6.jpg', 'checksum': 'ae0e242bb8d9fa76345c87c79aab5e9f'}]",Kingston KHX16C9T3K4/32X,http://www.informatique.nl/773022/kingston-khx16c9t3k4-32x.html,Informatique,"€ 318,00",http://img.informatique.nl/110/773022.jpg,"32GB (4 modules),Cas Latency:  9,Kloksnelheid: 1600 MHz,Voltage: 1.65 V"
"[{'url': 'http://img.informatique.nl/110/137402.jpg', 'path': 'full/6d20eaeaa8689754fc0969b43a23b43635ddf142.jpg', 'checksum': '5c2aa5c74fec3c249614a8697b656cce'}]",Corsair XMS3 4GB(2x2GB) DDR3 1333MHz DHX,http://www.informatique.nl/137402/corsair-xms3-4gb-2x2gb-ddr3-1333mhz-dhx.html,Informatique,"€ 66,00",http://img.informatique.nl/110/137402.jpg,"4GB (2 modules),Cas Latency:  9,Kloksnelheid: 1333 MHz,Voltage: 1.50 V"
"[{'url': 'http://img.informatique.nl/110/137616.jpg', 'path': 'full/068132bfc4f68b0f7e66d6bd2527a71dc04ccaf0.jpg', 'checksum': 'b8fb88795fcb07a046ff09ca7af59f8e'}]",Corsair XMS3 6GB(3x2GB) DDR3 1600MHz CL9,http://www.informatique.nl/137616/corsair-xms3-6gb-3x2gb-ddr3-1600mhz-cl9.html,Informatique,"€ 81,00",http://img.informatique.nl/110/137616.jpg,"6GB (3 modules),Cas Latency:  9,Kloksnelheid: 1600 MHz,Voltage: 1.65 V"
"[{'url': 'http://img.informatique.nl/110/137678.jpg', 'path': 'full/1d8f62e82574665028003942946f2c80b9db3df9.jpg', 'checksum': '5dfec2a0fd50bc6dd4be1da5f82160ec'}]",Corsair Dominator 8GB Kit,http://www.informatique.nl/137678/corsair-dominator-8gb-kit.html,Informatique,"€ 104,00",http://img.informatique.nl/110/137678.jpg,"8GB (2 modules),Cas Latency:  9,Kloksnelheid: 1600 MHz,Voltage: 1.65 V"
"[{'url': 'http://img.informatique.nl/110/142183.jpg', 'path': 'full/ba8f84aae2c26bba410da499b99c5e31204c526a.jpg', 'checksum': 'b280e62112f8b453cb1a7792069b1a32'}]",Kingston KHX1600C9D3K2/8G,http://www.informatique.nl/142183/kingston-khx1600c9d3k2-8g.html,Informatique,"€ 89,00",http://img.informatique.nl/110/142183.jpg,"8GB (2 modules),Cas Latency:  9,Kloksnelheid: 1600 MHz,Voltage:"
"[{'url': 'http://img.informatique.nl/110/142265.jpg', 'path': 'full/225b3bd22f7339e86311d84a48d12de796a75db3.jpg', 'checksum': 'c540f1613b71e2590afea2ea7e06cc48'}]",Kingston ValueRam 8GB(1x8GB) DDR3 1333MH,http://www.informatique.nl/142265/kingston-valueram-8gb-1x8gb-ddr3-1333mh.html,Informatique,"€ 78,00",http://img.informatique.nl/110/142265.jpg,"8GB (,Cas Latency:,Kloksnelheid:,Voltage:"
"[{'url': 'http://img.informatique.nl/110/142641.jpg', 'path': 'full/134fa40fb78df54ed4d69b139858294b7023160a.jpg', 'checksum': '6e5d678b8bc8deb5b1c8bf1d2f75f620'}]",Kingston KHX21C11X3K4/16X,http://www.informatique.nl/142641/kingston-khx21c11x3k4-16x.html,Informatique,"€ 189,00",http://img.informatique.nl/110/142641.jpg,"16GB (4 modules),Cas Latency: 11,Kloksnelheid: 2133 MHz,Voltage: 1.65 V"
"[{'url': 'http://img.informatique.nl/110/144714.jpg', 'path': 'full/722f4c8a2b62d5d7a32792531405f366444d6c71.jpg', 'checksum': 'dd73658f16de25688cd95ca2a0a2b5e1'}]",G.Skill Ripjaws 4GB(1x4GB) DDR3 1333MHz,http://www.informatique.nl/144714/g-skill-ripjaws-4gb-1x4gb-ddr3-1333mhz.html,Informatique,"€ 40,00",http://img.informatique.nl/110/144714.jpg,"4GB (1 modules),Cas Latency:  9,Kloksnelheid: 1333 MHz,Voltage: 1.50 V"
"[{'url': 'http://img.informatique.nl/110/144715.jpg', 'path': 'full/716eafcd55f87266b8afeefd5e7765ddf2f52acf.jpg', 'checksum': 'e0c17e4feda8193db8edee850538c13a'}]",G.Skill RipjawsX 8GB(1x8GB) DDR3 1333MHz,http://www.informatique.nl/144715/g-skill-ripjawsx-8gb-1x8gb-ddr3-1333mhz.html,Informatique,"€ 78,00",http://img.informatique.nl/110/144715.jpg,"8GB (1 modules),Cas Latency:  9,Kloksnelheid: 1333 MHz,Voltage: 1.50 V"
