images,name,url,webshop,price,image_urls,desc
"[{'url': 'http://img.informatique.nl/110/539942.jpg', 'path': 'full/0426bed55924643efe87e1055f91044b6d3e3c80.jpg', 'checksum': '045bd6c9297f12bad4b3b810d9939553'}]","Intel Core i5-4590, 3.3Ghz, 6MB, S1150",http://www.informatique.nl/539942/intel-core-i5-4590-3-3ghz-6mb-s1150.html,Informatique,"€ 189,00",http://img.informatique.nl/110/539942.jpg,"Core i5 , 4e generatie refresh , S1150 , 3.3Ghz / 3.7Ghz , 4 Cores , HD Graphics 4600"
"[{'url': 'http://img.informatique.nl/110/541343.jpg', 'path': 'full/e77f9c5599b07dd96249b4089f3c22b5b51ab8b4.jpg', 'checksum': '762b81c99e7d383c955539d41b954831'}]","Intel Pentium G3258, 3.2Ghz, S1150",http://www.informatique.nl/541343/intel-pentium-g3258-3-2ghz-s1150.html,Informatique,"€ 61,00",http://img.informatique.nl/110/541343.jpg,
"[{'url': 'http://img.informatique.nl/110/543185.jpg', 'path': 'full/5c1ab4eafb4c20dfee0db3335a3ccf014902ac44.jpg', 'checksum': '17106282ad0a0e4f269c59643a5d83b6'}]",Intel Core i7-5820K,http://www.informatique.nl/543185/intel-core-i7-5820k.html,Informatique,"€ 365,00",http://img.informatique.nl/110/543185.jpg,
"[{'url': 'http://img.informatique.nl/110/468810.jpg', 'path': 'full/29dfc2bf7c5c85f2b8d891c415d58b8a2a0e81d2.jpg', 'checksum': 'effba7f582224c4ebad22077ec3e4a9e'}]","Intel Core i7-4770, 3.40GHz, 8MB, S1150",http://www.informatique.nl/468810/intel-core-i7-4770-3-40ghz-8mb-s1150.html,Informatique,"€ 285,00",http://img.informatique.nl/110/468810.jpg,"Core i7 ,4 e generatie,S1150 ,Hyperthreading,Intel Turbo Boost"
"[{'url': 'http://img.informatique.nl/110/155677.jpg', 'path': 'full/9ed383af639e369417f1948ccc75b75e97d76bc2.jpg', 'checksum': 'a83b2b565b13521ef1c4a46df8573cde'}]","Intel Core i3-3220, 3.30GHz, 3MB, HD2500",http://www.informatique.nl/155677/intel-core-i3-3220-3-30ghz-3mb-hd2500.html,Informatique,"€ 105,00",http://img.informatique.nl/110/155677.jpg,"Core i3 ,3 e generatie,S1155 ,Hyperthreading,55 Watt"
"[{'url': 'http://img.informatique.nl/110/539933.jpg', 'path': 'full/df7370e29110cf8d5241c1a348a8fd855dc38709.jpg', 'checksum': 'f2b9b8767ecd3a0a63cee9484912a3ec'}]","Intel Celeron G1840, 2.8Ghz, 2MB, S1150",http://www.informatique.nl/539933/intel-celeron-g1840-2-8ghz-2mb-s1150.html,Informatique,"€ 35,00",http://img.informatique.nl/110/539933.jpg,"Celeron , 4e generatie refresh , S1150 , 2.8Ghz , 2 Cores , HD Graphics"
"[{'url': 'http://img.informatique.nl/110/468806.jpg', 'path': 'full/65b2b82039052b836420196c17cceb1ea1088a27.jpg', 'checksum': '7f58f55d69318045ac17299c80b7d593'}]","Intel Core i5-4430, 3.00GHz, 6MB, S1150",http://www.informatique.nl/468806/intel-core-i5-4430-3-00ghz-6mb-s1150.html,Informatique,"€ 176,00",http://img.informatique.nl/110/468806.jpg,"Core i5 ,4 e generatie,S1150 ,Intel Turbo Boost,84 Watt"
"[{'url': 'http://img.informatique.nl/110/539935.jpg', 'path': 'full/4bcd55e27b5a64f803d5c3938d0581577f02ab1d.jpg', 'checksum': '0c297d0e5b43a08a05965dcf64a0e7ee'}]","Intel Pentium G3240, 3.1Ghz, 3MB, S1150",http://www.informatique.nl/539935/intel-pentium-g3240-3-1ghz-3mb-s1150.html,Informatique,"€ 55,00",http://img.informatique.nl/110/539935.jpg,"Pentium , 4e generatie refresh , S1150 , 3.1Ghz , 2 Cores , HD Graphics"
"[{'url': 'http://img.informatique.nl/110/468818.jpg', 'path': 'full/8b47db6e67f395195f788e05b50c2c9149e208e0.jpg', 'checksum': 'a83b2b565b13521ef1c4a46df8573cde'}]","Intel Core i3-4130, 3.40GHz, 3MB, S1150",http://www.informatique.nl/468818/intel-core-i3-4130-3-40ghz-3mb-s1150.html,Informatique,"€ 106,00",http://img.informatique.nl/110/468818.jpg,"Core i3 ,4 e generatie,S1150 ,54 Watt,Integrated Graphics"
"[{'url': 'http://img.informatique.nl/110/543187.jpg', 'path': 'full/91adc9650a0ef61cbadaaefac6ec41a0e6bb2e77.jpg', 'checksum': '17106282ad0a0e4f269c59643a5d83b6'}]",Intel Core i7-5930K,http://www.informatique.nl/543187/intel-core-i7-5930k.html,Informatique,"€ 539,00",http://img.informatique.nl/110/543187.jpg,
"[{'url': 'http://img.informatique.nl/110/468808.jpg', 'path': 'full/e1dcf7c52079b6d220821f7a235e1ad4da05ae08.jpg', 'checksum': 'd399de343e1a67135bd50f3d75e85dd4'}]","Intel Core i5-4670, 3.40GHz, 6MB, S1150",http://www.informatique.nl/468808/intel-core-i5-4670-3-40ghz-6mb-s1150.html,Informatique,"€ 207,00",http://img.informatique.nl/110/468808.jpg,"Core i5 ,4 e generatie,S1150 ,Intel Turbo Boost,84 Watt"
"[{'url': 'http://img.informatique.nl/110/468824.jpg', 'path': 'full/e8962b2cebcfa5d7d67e1d68f657211a4c06e979.jpg', 'checksum': '0c297d0e5b43a08a05965dcf64a0e7ee'}]","Intel Pentium G3220, 3.0GHz, 3MB, S1150",http://www.informatique.nl/468824/intel-pentium-g3220-3-0ghz-3mb-s1150.html,Informatique,"€ 52,00",http://img.informatique.nl/110/468824.jpg,
"[{'url': 'http://img.informatique.nl/110/155560.jpg', 'path': 'full/46eec271e42148e93c623e48350fcf2913f54969.jpg', 'checksum': 'effba7f582224c4ebad22077ec3e4a9e'}]",Intel Core i7-3770K,http://www.informatique.nl/155560/intel-core-i7-3770k.html,Informatique,"€ 311,00",http://img.informatique.nl/110/155560.jpg,"Core i7 ,3 e generatie,S1155 ,Hyperthreading,Intel Turbo Boost"
"[{'url': 'http://img.informatique.nl/110/468811.jpg', 'path': 'full/970095ca39b5e2583b95885232467048a0a3602c.jpg', 'checksum': 'b1bdd3da2ddde0560f3f45a07f999ef5'}]","Intel Core i7-4770K, 3.50GHz, 8MB, S1150",http://www.informatique.nl/468811/intel-core-i7-4770k-3-50ghz-8mb-s1150.html,Informatique,"€ 319,00",http://img.informatique.nl/110/468811.jpg,"Core i7 ,4 e generatie,S1150 ,Hyperthreading,Intel Turbo Boost"
"[{'url': 'http://img.informatique.nl/110/468819.jpg', 'path': 'full/ee5aa03864177ddaec9f7f89732bbfa2f711cc0a.jpg', 'checksum': 'a83b2b565b13521ef1c4a46df8573cde'}]","Intel Core i3-4330, 3.50GHz, 4MB, S1150",http://www.informatique.nl/468819/intel-core-i3-4330-3-50ghz-4mb-s1150.html,Informatique,"€ 125,00",http://img.informatique.nl/110/468819.jpg,"Core i3 ,4 e generatie,S1150 ,54 Watt,Integrated Graphics"
"[{'url': 'http://img.informatique.nl/110/468821.jpg', 'path': 'full/978bbdc637c88bfc7d7e1383afe36ef72392948e.jpg', 'checksum': '7f58f55d69318045ac17299c80b7d593'}]","Intel Core i5-4440, 3.10GHz, 6MB, S1150",http://www.informatique.nl/468821/intel-core-i5-4440-3-10ghz-6mb-s1150.html,Informatique,"€ 175,00",http://img.informatique.nl/110/468821.jpg,
"[{'url': 'http://img.informatique.nl/110/155679.jpg', 'path': 'full/6bd837c6651a87d25227206bd97785948780dc48.jpg', 'checksum': '14c2516ce8c041e9eb3b24aeac863047'}]","Intel Core i3-3240, 3.40GHz, 3MB, HD2500",http://www.informatique.nl/155679/intel-core-i3-3240-3-40ghz-3mb-hd2500.html,Informatique,"€ 104,00",http://img.informatique.nl/110/155679.jpg,"Core i3 ,3 e generatie,S1155 ,Hyperthreading,55 Watt"
"[{'url': 'http://img.informatique.nl/110/529210.jpg', 'path': 'full/625a32e069b875450f7fecebb429c8af958d704e.jpg', 'checksum': '7f58f55d69318045ac17299c80b7d593'}]",Intel Core i5-3330,http://www.informatique.nl/529210/intel-core-i5-3330.html,Informatique,"€ 170,00",http://img.informatique.nl/110/529210.jpg,"Core i5 ,3 e generatie,S1155 ,Intel Turbo Boost,77 Watt"
"[{'url': 'http://img.informatique.nl/110/115635.jpg', 'path': 'full/2fd280fff90b18170cba25271a740326f939af62.jpg', 'checksum': 'effba7f582224c4ebad22077ec3e4a9e'}]","Intel Core i7-4930K, 3.4GHz, 12MB, S2011",http://www.informatique.nl/115635/intel-core-i7-4930k-3-4ghz-12mb-s2011.html,Informatique,"€ 549,00",http://img.informatique.nl/110/115635.jpg,"Core i7 ,3 e generatie,S2011 ,Hyperthreading,Intel Turbo Boost"
"[{'url': 'http://img.informatique.nl/110/539934.jpg', 'path': 'full/ad3d3869dcb12df9d241d2a9869ba03701583d5d.jpg', 'checksum': 'f2b9b8767ecd3a0a63cee9484912a3ec'}]","Intel Celeron G1850, 2.9Ghz, 2MB, S1150",http://www.informatique.nl/539934/intel-celeron-g1850-2-9ghz-2mb-s1150.html,Informatique,"€ 48,00",http://img.informatique.nl/110/539934.jpg,"Celeron , 4e generatie refresh , S1150 , 2.9Ghz , 2 Cores , HD Graphics"
"[{'url': 'http://img.informatique.nl/110/541635.jpg', 'path': 'full/9f234172e9ee79eeeffa0089489ff1d58e842618.jpg', 'checksum': 'effba7f582224c4ebad22077ec3e4a9e'}]","Intel Core i7-4790S, 3,2Ghz, 8MB, S1150",http://www.informatique.nl/541635/intel-core-i7-4790s-3-2ghz-8mb-s1150.html,Informatique,"€ 299,00",http://img.informatique.nl/110/541635.jpg,
"[{'url': 'http://img.informatique.nl/110/468807.jpg', 'path': 'full/32ee1c90322e4eadee5ecf0e0e9953bb31fd342c.jpg', 'checksum': 'd399de343e1a67135bd50f3d75e85dd4'}]","Intel Core i5-4570, 3.20GHz, 6MB, S1150",http://www.informatique.nl/468807/intel-core-i5-4570-3-20ghz-6mb-s1150.html,Informatique,"€ 187,00",http://img.informatique.nl/110/468807.jpg,"Core i5 ,4 e generatie,S1150 ,Intel Turbo Boost,84 Watt"
