images,name,url,webshop,price,image_urls,desc
"[{'url': 'http://img.informatique.nl/110/530663.jpg', 'path': 'full/53278f8c35065cda3befd77ba92fee5cad11e703.jpg', 'checksum': 'cec74b77699289d135b16f6f5dd75ef5'}]",Corsair Professional Platinum AX860i,http://www.informatique.nl/530663/corsair-professional-platinum-ax860i.html,Informatique,"€ 189,00",http://img.informatique.nl/110/530663.jpg,
"[{'url': 'http://img.informatique.nl/110/538627.jpg', 'path': 'full/07e0b1425c86fe1d9a214dea1ee2704215bf63ac.jpg', 'checksum': 'a51b22d87d2039e7ada2f0b9f5643d1a'}]",Be Quiet! System Power 7 500W,http://www.informatique.nl/538627/be-quiet-system-power-7-500w.html,Informatique,"€ 60,00",http://img.informatique.nl/110/538627.jpg,"ATX ,500 Watt,80+ Efficiency,120mm Fan"
"[{'url': 'http://img.informatique.nl/110/892515.jpg', 'path': 'full/276977992994099fa8ac82e4d4d5e331e2252378.jpg', 'checksum': 'ec8566d440e0f629ea7a50bff6c4ae18'}]",Antec HCG-620-EC,http://www.informatique.nl/892515/antec-hcg-620-ec.html,Informatique,"€ 79,00",http://img.informatique.nl/110/892515.jpg,"ATX ,620 Watt,80+ Efficiency,135mm Fan"
"[{'url': 'http://img.informatique.nl/110/925127.jpg', 'path': 'full/374cc6cff0f72d6500b7c479dfaad8c5ccf9ca88.jpg', 'checksum': '8e0b8b2dafe7efabca347ec6099499e9'}]","Be Quiet! Straight Power E9, 450Watt",http://www.informatique.nl/925127/be-quiet-straight-power-e9-450watt.html,Informatique,"€ 79,00",http://img.informatique.nl/110/925127.jpg,"ATX ,450 Watt,80+ Efficiency,135mm Fan"
"[{'url': 'http://img.informatique.nl/110/110866.jpg', 'path': 'full/7e23093be9c286e93534a12c13f8251949802cc4.jpg', 'checksum': '65001f269daf4bbcb1f74e9b487aac90'}]",Seasonic X-650,http://www.informatique.nl/110866/seasonic-x-650.html,Informatique,"€ 135,00",http://img.informatique.nl/110/110866.jpg,"ATX ,650 Watt,Modulair,80+ Efficiency"
"[{'url': 'http://img.informatique.nl/110/131798.jpg', 'path': 'full/f20841e5593599e03e2f9e0d6f8a419edd53cfbf.jpg', 'checksum': '063dfc40b7b2f69f21bb1f0efe001ef5'}]",CoolerMaster VS450 450W,http://www.informatique.nl/131798/coolermaster-vs450-450w.html,Informatique,"€ 75,00",http://img.informatique.nl/110/131798.jpg,
"[{'url': 'http://img.informatique.nl/110/542972.jpg', 'path': 'full/de16e95fb5f894b715981458a51f494bb16131bd.jpg', 'checksum': 'e0485cf2833d72c11489ea7b7f57f040'}]",Aerocool SX-250,http://www.informatique.nl/542972/aerocool-sx-250.html,Informatique,"€ 20,00",http://img.informatique.nl/110/542972.jpg,
"[{'url': 'http://img.informatique.nl/110/647558.jpg', 'path': 'full/346acabb37b8ccd84e93d79ddd726c3431f91521.jpg', 'checksum': 'd51351eb26f36d4ca2c2a5feca91572b'}]",Spire Jewel OEM 400W ATX PC voeding,http://www.informatique.nl/647558/spire-jewel-oem-400w-atx-pc-voeding.html,Informatique,"€ 15,00",http://img.informatique.nl/110/647558.jpg,
"[{'url': 'http://img.informatique.nl/110/925137.jpg', 'path': 'full/7e86c8512459ad04c027bd62a10726b729139e6e.jpg', 'checksum': '7ef2667e336a324633080d12df5e74e5'}]",Be Quiet! Dark Power Pro P10 650W,http://www.informatique.nl/925137/be-quiet-dark-power-pro-p10-650w.html,Informatique,"€ 149,00",http://img.informatique.nl/110/925137.jpg,"ATX ,650 Watt,Modulair,80+ Efficiency"
"[{'url': 'http://img.informatique.nl/110/111948.jpg', 'path': 'full/7165698bd9102d772d9872e30a42ee07b299a4c9.jpg', 'checksum': '06e9a6b84c3bca685a5ec5ef1b925484'}]",Seasonic S12G 650W,http://www.informatique.nl/111948/seasonic-s12g-650w.html,Informatique,"€ 99,00",http://img.informatique.nl/110/111948.jpg,
