url,price,name,desc
/productinfo/196203/gigabyte-h81m-hd3,"€ 60,03",Gigabyte H81M-HD3,"Micro ATX, Socket 1150, DDR3, Intel H81"
/productinfo/186529/gigabyte-h87m-hd3,"€ 88,33",Gigabyte H87M-HD3,"Micro ATX, Socket 1150, DDR3, Intel H87"
/productinfo/242059/gigabyte-x99-ud5-wifi,"€ 287,28",Gigabyte X99-UD5 WiFi,"ATX, Socket 2011-3, DDR4, Intel X99"
/productinfo/162445/gigabyte-z77n-wifi,,Gigabyte Z77N WiFi,"Mini ITX, Socket 1155, DDR3, Intel Z77"
/productinfo/129939/msi-760gm-p23-fx,"€ 42,34",MSI 760GM-P23 (FX),"Micro ATX, Socket AM3+, DDR3, AMD 760G"
/productinfo/181837/msi-b75a-g43-gaming,"€ 66,50",MSI B75A-G43 Gaming,"ATX, Socket 1155, DDR3, Intel B75"
/productinfo/150139/msi-b75ma-p45,"€ 59,24",MSI B75MA-P45,"Micro ATX, Socket 1155, DDR3, Intel B75"
/productinfo/188139/msi-b85-g41-pc-mate,"€ 72,24",MSI B85-G41 PC Mate,"ATX, Socket 1150, DDR3, Intel B85"
/productinfo/240025/msi-csm-c222-089,"€ 154,31",MSI CSM-C222-089,"Mini ITX, Socket 2011, DDR3, Intel C222"
/productinfo/150244/asrock-b75-pro3,"€ 67,08",ASRock B75 Pro3,"ATX, Socket 1155, DDR3, Intel B75"
/productinfo/215806/zotac-h77itx-b-e,,Zotac H77ITX-B-E,
/productinfo/205620/zotac-h87itx-a-e,"€ 138,83",Zotac H87ITX-A-E,"Mini ITX, Socket 1150, DDR3, Intel H87"
/productinfo/212600/zotac-h87mat-a-e,"€ 114,69",Zotac H87MAT-A-E,"Micro ATX, Socket 1150, DDR3, Intel H87"
/productinfo/116250/zotac-ionitx-k-e,,Zotac IONITX-K-E,Mini ITX
/productinfo/111077/zotac-ionitx-l-e,,Zotac IONITX-L-E,"Mini ITX, DDR3, Nvidia Ion"
/productinfo/111078/zotac-ionitx-n-e,,Zotac IONITX-N-E,"Mini ITX, DDR3, Nvidia Ion"
/productinfo/110992/zotac-ionitx-p-e,,Zotac IONITX-P-E,"Mini ITX, DDR3, Nvidia Ion"
/productinfo/126508/zotac-ionitx-s-e,,Zotac IONITX-S-E,"Mini ITX, DDR3, Intel NM10"
/productinfo/126509/zotac-ionitx-t-e,,Zotac IONITX-T-E,"Mini ITX, DDR3, Intel NM10"
/productinfo/125887/zotac-ionitx-u-e,,Zotac IONITX-U-E,"Mini ITX, DDR3, Intel NM10"
/productinfo/66726/zotac-ionitx-a-e,,Zotac IonItx-A-E,"Mini ITX, DDR2, Nvidia Ion"
/productinfo/66727/zotac-ionitx-b-e,,Zotac IonItx-B-E,"Mini ITX, onboard CPU, DDR2, Nvidia Ion"
/productinfo/74925/zotac-ionitx-d-e,,Zotac IonItx-D-E,"Mini ITX, onboard CPU, DDR2, Nvidia Ion"
/productinfo/154009/intel-dq77kb,"€ 137,65",Intel DQ77KB,"Mini ITX, Socket 1155, DDR3, Intel Q77"
/productinfo/187909/msi-b85i,"€ 83,71",MSI B85I,"Mini ITX, Socket 1150, DDR3, Intel B85"
/productinfo/219133/msi-b85m-gaming,"€ 90,39",MSI B85M Gaming,"Micro ATX, Socket 1150, DDR3, Intel B85"
/productinfo/166965/msi-fm2-a75ia-e53,"€ 84,19",MSI FM2-A75IA-E53,"Mini ITX, Socket FM2, DDR3, AMD A75"
/productinfo/228993/msi-h81m-eco,"€ 62,90",MSI H81M Eco,"Micro ATX, Socket 1150, DDR3, Intel H97"
/productinfo/200345/msi-h81m-e35,"€ 57,13",MSI H81M-E35,"Micro ATX, Socket 1150, DDR3, Intel H81"
/productinfo/1443/msi-k9n-neo-f,,MSI K9N Neo-F,"ATX, Socket AM2, Nvidia nForce 550"
/productinfo/77285/msi-p55m-gd45,,MSI P55M-GD45,"Micro ATX, Socket 1156, DDR3, Intel P55"
/productinfo/4139/msi-p6ngm-l,,MSI P6NGM-L,"Micro ATX, Socket 775, DDR2, Nvidia nForce 630i"
/productinfo/1617/msi-p965-neo-f,,MSI P965 Neo-F,"ATX, Socket 775, DDR2, Intel P965"
/productinfo/150192/msi-z77a-gd80,,MSI Z77A-GD80,"ATX, Socket 1155, DDR3, Intel Z77"
/productinfo/188118/msi-z87m-g43,"€ 85,78",MSI Z87M-G43,"Micro ATX, Socket 1150, DDR3, Intel Z87"
/productinfo/219302/msi-z97-pc-mate,"€ 86,09",MSI Z97 PC Mate,"ATX, Socket 1150, DDR3, Intel Z97"
/productinfo/79167/point-of-view-ion-330,,Point of View Ion 330,"Mini ITX, onboard CPU, DDR2, Nvidia Ion"
/productinfo/195164/asus-b85m-e-c2,"€ 76,25",ASUS B85M-E (C2),"Micro ATX, Socket 1150, DDR3, Intel B85"
/productinfo/1946/asus-commando,,ASUS Commando,"ATX, Socket 775, DDR2, Intel P965"
/productinfo/195776/asus-h81m-e,"€ 54,78",ASUS H81M-E,"Micro ATX, Socket 1150, DDR3, Intel H81"
/productinfo/205079/asus-h81t,"€ 76,55",ASUS H81T,"Mini ITX, Socket 1150, DDR3, Intel H81"
/productinfo/100788/asus-m4a88t-musb3,,ASUS M4A88T-M/USB3,"Micro ATX, Socket AM3, DDR3, AMD 880G"
